[2017-07-21 02:03:22,701] TRACE Controller 0 epoch 1 received response {error_code=0} for a request sent to broker 192.168.100.38:9092 (id: 0 rack: null) (state.change.logger)
[2017-07-21 02:05:31,447] TRACE Controller 0 epoch 1 changed partition [test,0] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:05:31,460] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [test,0] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:05:31,497] TRACE Controller 0 epoch 1 changed partition [test,0] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-07-21 02:05:31,500] TRACE Controller 0 epoch 1 sending become-leader LeaderAndIsr request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to broker 0 for partition [test,0] (state.change.logger)
[2017-07-21 02:05:31,505] TRACE Controller 0 epoch 1 sending UpdateMetadata request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to brokers Set(0) for partition test-0 (state.change.logger)
[2017-07-21 02:05:31,508] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [test,0] from NewReplica to OnlineReplica (state.change.logger)
[2017-07-21 02:05:31,509] TRACE Broker 0 received LeaderAndIsr request PartitionState(controllerEpoch=1, leader=0, leaderEpoch=0, isr=0, zkVersion=0, replicas=0) correlation id 1 from controller 0 epoch 1 for partition [test,0] (state.change.logger)
[2017-07-21 02:05:31,526] TRACE Broker 0 handling LeaderAndIsr request correlationId 1 from controller 0 epoch 1 starting the become-leader transition for partition test-0 (state.change.logger)
[2017-07-21 02:05:31,655] TRACE Broker 0 stopped fetchers as part of become-leader request from controller 0 epoch 1 with correlation id 1 for partition test-0 (state.change.logger)
[2017-07-21 02:05:31,656] TRACE Broker 0 completed LeaderAndIsr request correlationId 1 from controller 0 epoch 1 for the become-leader transition for partition test-0 (state.change.logger)
[2017-07-21 02:05:31,661] TRACE Controller 0 epoch 1 received response {error_code=0,partitions=[{topic=test,partition=0,error_code=0}]} for a request sent to broker 192.168.100.38:9092 (id: 0 rack: null) (state.change.logger)
[2017-07-21 02:05:31,666] TRACE Broker 0 cached leader info (LeaderAndIsrInfo:(Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1),ReplicationFactor:1),AllReplicas:0) for partition test-0 in response to UpdateMetadata request sent by controller 0 epoch 1 with correlation id 2 (state.change.logger)
[2017-07-21 02:05:31,667] TRACE Controller 0 epoch 1 received response {error_code=0} for a request sent to broker 192.168.100.38:9092 (id: 0 rack: null) (state.change.logger)
[2017-07-21 02:08:49,146] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,19] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,147] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,30] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,147] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,47] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,147] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,29] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,150] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,41] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,153] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,39] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,153] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,10] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,153] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,17] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,154] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,14] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,154] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,40] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,154] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,18] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,154] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,26] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,155] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,0] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,155] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,24] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,155] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,33] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,155] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,20] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,155] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,21] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,155] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,3] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,155] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,5] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,155] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,22] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,156] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,12] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,156] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,8] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,156] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,23] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,156] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,15] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,156] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,48] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,156] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,11] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,158] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,13] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,158] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,49] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,158] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,6] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,159] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,28] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,159] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,4] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,159] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,37] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,159] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,31] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,159] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,44] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,160] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,42] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,160] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,34] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,160] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,46] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,160] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,25] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,160] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,45] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,160] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,27] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,160] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,32] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,161] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,43] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,162] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,36] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,162] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,35] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,163] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,7] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,163] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,9] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,163] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,38] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,165] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,1] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,165] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,16] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,165] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,2] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-07-21 02:08:49,169] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,25] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,171] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,12] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,172] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,31] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,172] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,40] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,173] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,35] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,175] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,9] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,176] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,43] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,177] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,2] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,178] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,11] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,179] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,29] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,180] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,30] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,181] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,4] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,182] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,42] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,183] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,26] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,184] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,34] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,185] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,17] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,186] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,37] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,187] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,27] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,188] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,10] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,189] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,41] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,190] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,20] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,191] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,28] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,192] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,46] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,193] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,39] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,194] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,47] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,195] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,49] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,196] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,22] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,197] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,1] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,198] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,24] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,199] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,6] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,200] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,36] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,201] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,8] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,203] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,38] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,204] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,16] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,205] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,21] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,206] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,18] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,207] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,0] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,208] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,48] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,209] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,5] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,210] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,13] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,211] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,3] from NonExistentReplica to NewReplica (state.change.logger)
[2017-07-21 02:08:49,212] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,44] from NonExistentReplica to NewReplica (state.change.logger)
